ID,exit,entry,Run,Frames
61,3148.0,1955.0,3,1193.0
62,3210.0,1902.0,3,1308.0
63,2850.0,1670.0,3,1180.0
64,2566.0,1323.0,3,1243.0
65,2338.0,1214.0,3,1124.0
66,2048.0,1012.0,3,1036.0
67,4426.0,2993.0,3,1433.0
69,3762.0,2522.0,3,1240.0
7,4181.0,2645.0,3,1536.0
70,3500.0,2437.0,3,1063.0
71,3302.0,2060.0,3,1242.0
72,3904.0,2249.0,3,1655.0
73,3105.0,1631.0,3,1474.0
74,3091.0,1815.0,3,1276.0
75,2860.0,1768.0,3,1092.0
76,2465.0,1342.0,3,1123.0
77,1905.0,753.0,3,1152.0
79,4022.0,2770.0,3,1252.0
8,2914.0,1581.0,3,1333.0
81,4242.0,2814.0,3,1428.0
82,3606.0,2260.0,3,1346.0
83,3160.0,1948.0,3,1212.0
84,2716.0,1439.0,3,1277.0
85,2581.0,1361.0,3,1220.0
86,2266.0,1241.0,3,1025.0
87,2651.0,1362.0,3,1289.0
88,2321.0,1151.0,3,1170.0
9,2849.0,1446.0,3,1403.0
91,4908.0,3280.0,3,1628.0
92,4199.0,2622.0,3,1577.0
93,4505.0,3018.0,3,1487.0
94,4586.0,3125.0,3,1461.0
96,3531.0,1637.0,3,1894.0
97,2783.0,1521.0,3,1262.0
98,2417.0,1096.0,3,1321.0
99,2108.0,947.0,3,1161.0
35,4678.0,3168.0,4,1510.0
36,4159.0,2716.0,4,1443.0
37,3576.0,2470.0,4,1106.0
38,3333.0,2174.0,4,1159.0
39,3207.0,2079.0,4,1128.0
40,2972.0,1886.0,4,1086.0
41,2687.0,1566.0,4,1121.0
42,2455.0,1404.0,4,1051.0
43,2226.0,1288.0,4,938.0
44,2142.0,1096.0,4,1046.0
46,4977.0,3271.0,4,1706.0
47,4074.0,2861.0,4,1213.0
49,3570.0,2360.0,4,1210.0
50,3433.0,2253.0,4,1180.0
51,3028.0,1933.0,4,1095.0
52,2586.0,1472.0,4,1114.0
53,2409.0,1291.0,4,1118.0
54,2277.0,1211.0,4,1066.0
55,2019.0,1133.0,4,886.0
56,3960.0,2701.0,4,1259.0
57,4137.0,2985.0,4,1152.0
58,3583.0,2317.0,4,1266.0
59,3786.0,2546.0,4,1240.0
6,3367.0,2094.0,4,1273.0
60,3502.0,2186.0,4,1316.0
61,3254.0,2101.0,4,1153.0
62,2930.0,1775.0,4,1155.0
63,2833.0,1677.0,4,1156.0
64,2708.0,1524.0,4,1184.0
65,2511.0,1377.0,4,1134.0
66,2606.0,1418.0,4,1188.0
67,4068.0,2750.0,4,1318.0
68,3819.0,2630.0,4,1189.0
69,4374.0,2911.0,4,1463.0
7,3456.0,2255.0,4,1201.0
70,3364.0,2164.0,4,1200.0
71,3716.0,2370.0,4,1346.0
72,2774.0,1589.0,4,1185.0
73,2667.0,1462.0,4,1205.0
74,2339.0,1276.0,4,1063.0
75,3513.0,1969.0,4,1544.0
76,1949.0,1074.0,4,875.0
77,2667.0,1342.0,4,1325.0
79,4505.0,3091.0,4,1414.0
8,3067.0,1722.0,4,1345.0
80,4053.0,2695.0,4,1358.0
81,3753.0,2457.0,4,1296.0
82,2941.0,1736.0,4,1205.0
83,3142.0,1885.0,4,1257.0
84,3883.0,2563.0,4,1320.0
85,3109.0,1678.0,4,1431.0
86,3169.0,2006.0,4,1163.0
87,2867.0,1395.0,4,1472.0
88,2072.0,1150.0,4,922.0
9,3388.0,1638.0,4,1750.0
94,4545.0,3196.0,4,1349.0
95,3681.0,2385.0,4,1296.0
96,4384.0,2813.0,4,1571.0
97,2313.0,1230.0,4,1083.0
98,2438.0,1314.0,4,1124.0
99,1997.0,1041.0,4,956.0
37,3518.0,2278.0,5,1240.0
38,3972.0,2764.0,5,1208.0
39,3548.0,2195.0,5,1353.0
4,4412.0,3047.0,5,1365.0
40,3308.0,1872.0,5,1436.0
41,3466.0,2183.0,5,1283.0
42,2263.0,1269.0,5,994.0
43,2487.0,1383.0,5,1104.0
44,2208.0,1194.0,5,1014.0
45,4531.0,3046.0,5,1485.0
46,4718.0,3235.0,5,1483.0
47,3758.0,2393.0,5,1365.0
48,3456.0,2163.0,5,1293.0
49,3043.0,1908.0,5,1135.0
5,4336.0,2809.0,5,1527.0
50,3230.0,2121.0,5,1109.0
51,3236.0,2033.0,5,1203.0
52,2479.0,1419.0,5,1060.0
53,2404.0,1279.0,5,1125.0
54,2346.0,1332.0,5,1014.0
55,2152.0,1162.0,5,990.0
58,4216.0,2865.0,5,1351.0
59,3911.0,2542.0,5,1369.0
60,3475.0,2286.0,5,1189.0
61,3001.0,1733.0,5,1268.0
62,2871.0,1611.0,5,1260.0
63,2657.0,1355.0,5,1302.0
64,2796.0,1526.0,5,1270.0
65,2061.0,1022.0,5,1039.0
66,1967.0,1128.0,5,839.0
68,4579.0,3187.0,5,1392.0
69,4037.0,2721.0,5,1316.0
70,3164.0,1875.0,5,1289.0
71,3768.0,2606.0,5,1162.0
72,3676.0,2510.0,5,1166.0
73,2741.0,1521.0,5,1220.0
74,3001.0,1909.0,5,1092.0
75,2293.0,1259.0,5,1034.0
76,2179.0,1203.0,5,976.0
77,2021.0,981.0,5,1040.0
78,4954.0,3161.0,5,1793.0
79,4666.0,3008.0,5,1658.0
8,4297.0,2710.0,5,1587.0
