Run,Mean Frames,Std Frames,Min Frames,Max Frames
81.0,1216.2295081967213,154.52943553927653,857.0,1555.0
82.0,1242.5245901639344,159.4061486222512,903.0,1584.0
83.0,1221.1475409836066,185.2404595892929,834.0,1721.0
84.0,1218.2622950819673,180.0697921769357,865.0,1648.0
85.0,1244.72131147541,165.23479568455923,913.0,1775.0
86.0,1228.311475409836,185.3041230863115,901.0,1834.0
87.0,1191.5737704918033,150.59542478844807,939.0,1602.0
88.0,1221.983606557377,162.3917579808449,893.0,1638.0
89.0,1301.8852459016393,221.92206577690405,930.0,2082.0
90.0,1223.049180327869,127.90001644898358,924.0,1579.0
91.0,1240.2622950819673,178.63751954160733,872.0,1715.0
92.0,1265.2459016393443,184.70577104661209,916.0,1927.0
93.0,1205.688524590164,134.8152490118244,865.0,1512.0
94.0,1244.2459016393443,181.98009559085523,882.0,1707.0
95.0,1236.327868852459,161.67546931136206,907.0,1590.0
96.0,1202.1475409836066,149.70947821982566,823.0,1589.0
97.0,1224.983606557377,170.29371605193174,869.0,1761.0
98.0,1255.1639344262296,173.84113248671125,926.0,1655.0
99.0,1225.311475409836,147.19766087176868,953.0,1610.0
100.0,1217.0983606557377,185.60762420745118,843.0,1622.0
Average,1239.5965573770495,170.1285725865486,903.08,1710.95
