ID,Event,Frame,Cell kind,Coordinates,
33,entry,1324,1,350.2089552,63.41293532
77,entry,1355,1,350.0050505,136.6565657
44,entry,1472,1,350.0703518,66.90954774
88,entry,1494,1,350.160804,135.5979899
76,entry,1542,1,350.0050251,125.0301508
32,entry,1569,1,350.0505051,64.01515152
43,entry,1607,1,350.22,75.825
87,entry,1615,1,350.1767677,135.969697
11,entry,1665,1,350.055,66.01
75,entry,1725,1,350.0049751,126.5273632
31,entry,1749,1,350.0201005,64.51758794
54,entry,1766,1,350.165,78.61
86,entry,1814,1,350.075,137.03
10,entry,1867,1,350.0753769,63.32663317
74,entry,1876,1,350.095,124.65
20,entry,1896,1,350.0150754,73.83417085
42,entry,1972,1,350.0707071,87.54040404
66,entry,1982,1,350,123.8040201
98,entry,2005,1,350.0201005,133.6934673
41,entry,2025,1,350.0808081,76.52020202
9,entry,2045,1,350.04,64.685
40,entry,2074,1,350.0606061,89.11111111
64,entry,2116,1,350.2636816,120.6616915
85,entry,2134,1,350.1909548,134.9849246
30,entry,2152,1,350.0050251,76.42713568
55,entry,2202,1,350.0252525,90.07575758
8,entry,2221,1,350.0050505,63.7979798
73,entry,2247,1,350.0050251,125.8190955
63,entry,2288,1,350.0757576,135.9646465
53,entry,2315,1,350.1256281,86.57788945
72,entry,2327,1,350.1161616,114.1363636
19,entry,2355,1,350.1060606,69.10606061
39,entry,2447,1,350.0454545,90.29292929
97,entry,2461,1,350.0603015,134.4321608
84,entry,2466,1,350.0854271,121.5075377
29,entry,2484,1,350.08,65.825
62,entry,2612,1,350.0452261,107.5025126
28,entry,2624,1,350.1010101,67.96464646
50,entry,2666,1,350.0203046,94.7715736
33,exit,2698,1,550.19,97.405
96,entry,2699,1,350.0505051,123.2929293
49,entry,2722,1,350.1111111,84.31818182
77,exit,2732,1,550.120603,108.7788945
94,entry,2763,1,350.0304569,135.7005076
21,entry,2780,1,350.1464646,65.12121212
44,exit,2802,1,550.1758794,96.45728643
71,entry,2854,1,350.0808081,105.9646465
32,exit,2870,1,550.1105528,91.27135678
88,exit,2886,1,550.215,106.11
17,entry,2899,1,350.1060606,80.01010101
99,entry,2935,1,350.0808081,124.3888889
18,entry,2941,1,350.1155779,67.74371859
43,exit,2943,1,550.05,85.685
76,exit,3003,1,550.025,100.18
87,exit,3026,1,550.11,111.555
93,entry,3064,1,350.0050251,136.3165829
11,exit,3071,1,550.1105528,89.05527638
7,entry,3084,1,350.1887755,64.91836735
37,entry,3120,1,350,98.05025126
70,entry,3123,1,350.0452261,125.8190955
22,entry,3125,1,350.0656566,78.14646465
75,exit,3126,1,550,101.0653266
74,exit,3169,1,550.12,113.23
31,exit,3197,1,550.0653266,89.12562814
6,entry,3248,1,350.1005025,63.47738693
54,exit,3268,1,550.1658291,101.6130653
27,entry,3303,1,350.0050251,74.73366834
86,exit,3319,1,550.2613065,110.5778894
38,entry,3322,1,350.1005025,94.30653266
20,exit,3336,1,550.0100503,86.54773869
95,entry,3340,1,350,132.0656566
42,exit,3398,1,550.14,98.15
60,entry,3417,1,350.0858586,110.2828283
10,exit,3428,1,550.0301508,84.54773869
80,entry,3432,1,350.0656566,119.9191919
16,entry,3456,1,350.0707071,67.20707071
41,exit,3492,1,550.0151515,97.1969697
83,entry,3537,1,350.0656566,137.1464646
9,exit,3539,1,550.1758794,84.19095477
52,entry,3541,1,350.0452261,100.8643216
66,exit,3560,1,550.2039801,110.2835821
40,exit,3606,1,550.045,98.16
98,exit,3644,1,550.065,115.165
51,entry,3670,1,350.1507538,93.1758794
