ID,Event,Frame,Cell kind,Coordinates
33,entry,848,1,350.27638190954764,67.22613065326634
77,entry,851,1,350.01000000000005,131.13999999999996
88,entry,928,1,350.05000000000007,136.40999999999994
87,entry,944,1,350.0900000000001,127.03500000000011
54,entry,947,1,350.32323232323233,66.33838383838386
44,entry,1012,1,350.2613065326632,76.17587939698495
11,entry,1017,1,350.08500000000004,66.495
86,entry,1047,1,350.1650000000002,133.6549999999999
42,entry,1069,1,350.030150753769,85.45728643216084
10,entry,1085,1,350.1300000000001,69.39000000000001
76,entry,1102,1,350.0949999999999,132.74500000000006
31,entry,1153,1,350.2010050251257,84.30150753768845
9,entry,1155,1,350.0348258706469,66.10945273631843
43,entry,1172,1,350.11557788944725,99.0954773869347
64,entry,1179,1,350.27500000000015,123.63000000000002
32,entry,1208,1,350.25000000000006,83.02999999999997
66,entry,1226,1,350.09,127.34499999999997
22,entry,1244,1,350.10999999999996,68.88500000000005
75,entry,1264,1,350.1149999999999,131.04499999999996
30,entry,1267,1,350.09500000000014,81.14500000000002
95,entry,1274,1,350.085,112.00500000000002
41,entry,1302,1,350.0950000000001,66.92999999999999
98,entry,1320,1,350.04000000000013,131.32999999999996
63,entry,1334,1,350.1799999999999,112.89999999999999
39,entry,1372,1,350.12626262626276,76.5303030303031
99,entry,1375,1,350.11557788944725,125.06030150753766
20,entry,1413,1,350.07537688442187,64.18592964824118
55,entry,1429,1,350.10050251256274,81.37185929648237
74,entry,1434,1,350.10447761194035,134.4925373134328
85,entry,1435,1,350.09405940594064,115.56930693069305
62,entry,1496,1,350.085,120.47499999999997
21,entry,1499,1,350.15577889447246,66.56281407035176
38,entry,1509,1,350.0350000000001,82.935
94,entry,1529,1,350.1608040201006,136.0854271356783
33,exit,1544,1,550.0653266331657,96.60301507537687
70,entry,1561,1,350.13065326633193,124.50251256281409
77,exit,1600,1,550.0398009950251,102.11442786069648
7,entry,1603,1,350.0452261306533,67.01507537688435
72,entry,1613,1,350.0600000000001,114.69000000000001
54,exit,1651,1,550.2020202020202,103.00000000000003
29,entry,1665,1,350.1111111111112,82.62626262626263
19,entry,1670,1,350.11557788944725,65.41708542713559
73,entry,1707,1,350.0404040404041,126.92424242424246
26,entry,1721,1,350.0656565656567,77.22222222222217
87,exit,1729,1,550.070351758794,103.23618090452258
58,entry,1749,1,350.0000000000003,137.43216080402007
65,entry,1771,1,350.13567839195974,121.537688442211
8,entry,1820,1,350.030456852792,69.3553299492386
17,entry,1830,1,350.0355329949239,82.17766497461925
44,exit,1891,1,550.135,78.25
86,exit,1891,1,550.1435643564347,114.11386138613858
88,exit,1894,1,550.0749999999999,101.50499999999998
69,entry,1896,1,350.05076142132015,114.10152284263965
60,entry,1926,1,350.0862944162439,128.46700507614213
11,exit,1952,1,550.0999999999999,90.03000000000002
50,entry,1959,1,350.1167512690357,83.91370558375633
18,entry,1974,1,350.01010101010104,104.62121212121217
76,exit,1979,1,550.2261306532669,111.85929648241206
81,entry,1988,1,350.05583756345163,116.01015228426395
42,exit,1992,1,550.0351758793967,98.9246231155779
40,entry,2000,1,350.005076142132,94.83248730964469
10,exit,2021,1,550.0854271356781,88.41206030150754
4,entry,2024,1,350.0408163265307,70.11734693877547
61,entry,2032,1,350.00505050505063,128.53030303030303
31,exit,2056,1,550.3585858585859,112.0505050505051
64,exit,2060,1,550.0452261306532,100.59798994974875
71,entry,2089,1,350.1218274111675,116.85279187817257
9,exit,2093,1,550.1149999999998,90.365
37,entry,2094,1,350.10152284263944,85.5228426395939
43,exit,2134,1,550.1959798994974,100.57286432160807
66,exit,2163,1,550.19306930693,112.59405940594058
28,entry,2166,1,350.06122448979556,78.9948979591837
6,entry,2172,1,350.0710659898477,64.65482233502541
90,entry,2182,1,350.1479591836736,118.9030612244898
93,entry,2186,1,350.05076142131963,132.46192893401013
22,exit,2200,1,550.1299999999995,99.22999999999999
75,exit,2201,1,550.0396039603955,118.99009900990093
27,entry,2248,1,350.10256410256403,79.86153846153846
98,exit,2253,1,550.1099999999998,115.39500000000001
32,exit,2256,1,550.3668341708541,101.94472361809046
41,exit,2271,1,550.2799999999997,89.20999999999998
95,exit,2309,1,550.1940298507459,108.83084577114424
30,exit,2331,1,550.1150000000002,91.40500000000002
59,entry,2332,1,350.18686868686876,96.41414141414137
97,entry,2337,1,350.0812182741117,124.87817258883248
80,entry,2352,1,350.14358974359,135.59487179487184
39,exit,2359,1,550.1599999999999,104.05500000000004
2,entry,2369,1,350.0502512562811,66.56281407035179
53,entry,2399,1,350.0913705583757,114.47208121827413
74,exit,2403,1,550.1699999999998,120.21000000000001
35,entry,2405,1,350.18274111675134,79.91370558375634
20,exit,2409,1,550.1144278606964,94.28855721393036
99,exit,2419,1,550.0693069306927,107.15841584158414
14,entry,2470,1,350.2261306532663,63.54773869346731
48,entry,2478,1,350.03045685279204,102.83756345177669
55,exit,2478,1,550.035175879397,115.99497487437188
25,entry,2485,1,350.08040201005053,91.78391959798999
85,exit,2490,1,550.0247524752472,101.94059405940594
23,entry,2512,1,350.01005025125636,79.52763819095476
83,entry,2532,1,350.17857142857133,135.7397959183673
94,exit,2549,1,550.1306532663313,114.63819095477388
5,entry,2553,1,350.0202020202022,68.3636363636364
57,entry,2582,1,350.050505050505,110.53030303030306
21,exit,2610,1,550.0348258706463,106.73134328358208
63,exit,2615,1,550.227272727273,96.79797979797976
79,entry,2619,1,350.005076142132,120.04060913705588
29,exit,2630,1,550.6549999999997,82.22999999999999
16,entry,2677,1,350.070351758794,63.180904522613055
70,exit,2677,1,550.1599999999995,121.47499999999998
7,exit,2680,1,550.1791044776115,89.05472636815918
62,exit,2687,1,550.0149999999999,105.845
