ID,Event,Frame,Cell kind,Coordinates
22,entry,1381,1,350.1708542713569,62.88442211055278
33,entry,1411,1,350.0502512562814,72.36683417085426
98,entry,1434,1,350.2211055276381,135.04020100502507
44,entry,1490,1,350.10101010101044,82.16666666666669
21,entry,1518,1,350.0100502512562,66.85929648241203
88,entry,1536,1,350.10050251256285,133.53266331658293
77,entry,1593,1,350.04545454545456,121.15656565656569
11,entry,1607,1,350.0201005025126,64.34170854271359
32,entry,1621,1,350.12562814070367,79.2964824120603
99,entry,1645,1,350.0303030303033,136.92929292929287
43,entry,1710,1,350.15075376884425,84.81909547738687
20,entry,1724,1,350.19597989949756,72.87939698492461
86,entry,1730,1,350.1306532663316,128.05025125628137
10,entry,1772,1,350.06598984771574,63.00507614213198
76,entry,1777,1,350.06030150753776,116.80904522613065
87,entry,1806,1,350.04522613065313,136.1758793969849
31,entry,1873,1,350.12562814070367,77.70854271356784
74,entry,1894,1,350.22222222222206,121.18686868686866
19,entry,1901,1,350.18781725888334,65.92385786802032
42,entry,1901,1,350.0301507537689,87.391959798995
66,entry,1969,1,350.10050251256297,112.76884422110551
96,entry,1983,1,350.03030303030306,137.33838383838383
41,entry,2045,1,350.10552763819106,81.60804020100498
85,entry,2054,1,350.0000000000002,126.66666666666657
18,entry,2081,1,350.03030303030323,71.65151515151514
9,entry,2092,1,350.0353535353532,62.36868686868687
30,entry,2160,1,350.0505050505049,92.77777777777779
63,entry,2172,1,350.04040404040416,105.3535353535354
75,entry,2222,1,350.0656565656566,115.34343434343434
28,entry,2261,1,350.03030303030306,79.31313131313135
84,entry,2300,1,350.05555555555543,123.65151515151508
97,entry,2300,1,350.0609137055838,135.77664974619293
8,entry,2389,1,350.045685279188,63.309644670050766
17,entry,2490,1,350.0251256281409,73.50251256281405
40,entry,2520,1,350.0151515151514,83.52020202020205
72,entry,2524,1,350.0862944162437,104.95939086294415
95,entry,2546,1,350.06532663316585,129.29145728643218
83,entry,2576,1,350.0204081632653,114.72959183673467
16,entry,2617,1,350.0150753768844,64.6834170854271
54,entry,2637,1,350.0101522842641,97.42131979695431
94,entry,2667,1,350.00510204081644,133.09183673469383
39,entry,2764,1,350.1262626262628,92.09090909090907
22,exit,2770,1,550.1400000000002,81.10999999999997
33,exit,2804,1,550.0449999999996,99.55499999999995
98,exit,2810,1,550.0502512562811,111.30653266331657
73,entry,2850,1,350.0101010101012,122.53030303030303
6,entry,2863,1,350.01010101010127,71.95959595959593
29,entry,2885,1,350.00000000000006,87.0606060606061
21,exit,2901,1,550.1200000000001,87.05999999999996
44,exit,2912,1,550.1969696969697,109.3535353535353
93,entry,2914,1,350.05076142131986,134.60406091370558
64,entry,2940,1,350.020202020202,101.06060606060605
7,entry,2965,1,350.0406091370558,65.26903553299496
11,exit,2984,1,550.1256281407035,96.95477386934672
88,exit,3009,1,550.08,110.57999999999997
27,entry,3031,1,350.045685279188,90.53807106598988
20,exit,3048,1,550.1250000000002,85.38499999999999
32,exit,3082,1,550.0000000000002,101.66331658291452
77,exit,3131,1,550.2999999999992,113.17000000000003
10,exit,3135,1,550.2211055276382,89.59798994974871
4,entry,3138,1,350.040404040404,68.4999999999999
92,entry,3145,1,350.0603015075377,137.05527638190947
69,entry,3167,1,350.0202020202022,119.36363636363639
43,exit,3205,1,550.0151515151513,99.79797979797976
99,exit,3223,1,550.0854271356781,114.65326633165833
76,exit,3244,1,550.1407035175879,88.79396984924624
82,entry,3245,1,350.0050505050505,107.78787878787884
26,entry,3257,1,350.0303030303031,86.8737373737374
15,entry,3281,1,350.02030456852776,63.42639593908631
53,entry,3292,1,350.07070707070716,96.66161616161617
86,exit,3304,1,550.0200000000001,104.05999999999997
80,entry,3318,1,350.01507537688445,124.8643216080402
31,exit,3347,1,550.0150753768846,93.89949748743722
38,entry,3388,1,350.34170854271355,77.65829145728645
19,exit,3442,1,550.3100000000001,86.75999999999999
74,exit,3449,1,550.1155778894472,99.62814070351759
42,exit,3453,1,550.0399999999998,111.51000000000002
67,entry,3488,1,350.03030303030295,127.11111111111103
66,exit,3546,1,550.1105527638188,104.87939698492461
18,exit,3548,1,550.0200000000003,89.46500000000002
50,entry,3572,1,350.0555555555558,88.12626262626269
25,entry,3583,1,350.0049999999999,75.87999999999998
5,entry,3597,1,350.0408163265305,64.61734693877553
85,exit,3625,1,550.0749999999999,99.13499999999998
91,entry,3637,1,350.0000000000002,136.53299492385787
87,exit,3642,1,550.060301507537,111.74874371859298
61,entry,3678,1,350.11616161616155,113.7020202020202
41,exit,3699,1,550.0749999999997,87.97999999999995
30,exit,3731,1,550.06,100.22499999999997
62,entry,3748,1,350.00000000000006,101.07035175879396
37,entry,3756,1,350.11557788944714,78.6482412060301
96,exit,3757,1,550.2600000000002,114.78500000000003
63,exit,3841,1,550.1249999999998,109.35499999999998
9,exit,3845,1,550.2649999999996,92.41999999999996
51,entry,3874,1,350.18090452261305,88.29145728643215
65,entry,3900,1,350.1155778894474,113.22613065326637
89,entry,3903,1,350.01010101010087,125.19191919191923
28,exit,3926,1,550.0348258706464,98.99004975124379
35,entry,3941,1,350.12626262626253,71.65151515151513
84,exit,3990,1,550.0301507537687,108.21105527638194
79,entry,4023,1,350.06030150753804,137.0452261306533
55,entry,4029,1,350.04,95.82000000000005
36,entry,4051,1,350.03015075376896,82.31658291457283
72,exit,4066,1,550.0804020100501,85.6733668341709
14,entry,4073,1,350.0656565656566,63.075757575757564
75,exit,4081,1,550.0351758793969,97.15577889447239
97,exit,4096,1,550.0299999999996,109.83499999999998
70,entry,4159,1,350.1407035175882,110.59798994974867
8,exit,4191,1,550.2599999999998,88.31000000000003
54,exit,4201,1,550.0049999999998,101.15999999999995
95,exit,4207,1,550.0650000000002,112.98
78,entry,4249,1,350.09090909090907,131.55050505050514
59,entry,4259,1,350.105527638191,115.2713567839196
13,entry,4288,1,350.0452261306533,69.0954773869347
39,exit,4307,1,550.0150000000006,109.9
40,exit,4312,1,550.10606060606,95.61111111111111
17,exit,4367,1,550.0449999999998,85.23999999999994
49,entry,4379,1,350.04999999999995,94.47999999999995
16,exit,4395,1,550.1105527638185,99.82412060301507
81,entry,4421,1,350.0649999999999,134.86499999999998
12,entry,4453,1,350.0250000000002,67.04
94,exit,4464,1,550.0549999999997,106.21499999999996
6,exit,4509,1,550.180904522613,91.7085427135679
68,entry,4531,1,350.12060301507563,112.83919597989951
34,entry,4553,1,350.0502512562817,90.58793969849248
71,entry,4560,1,350.01500000000004,102.98999999999995
83,exit,4560,1,550.0550000000001,106.07499999999997
29,exit,4571,1,550.0250000000001,82.82500000000003
3,entry,4624,1,350.183673469388,63.55612244897961
93,exit,4644,1,550.0603015075378,114.035175879397
57,entry,4645,1,350.07537688442216,133.92462311557796
7,exit,4653,1,550.0854271356781,97.73869346733665
4,exit,4702,1,550.0849999999996,87.82500000000007
46,entry,4713,1,350.06532663316597,86.3015075376885
73,exit,4724,1,550.0099999999995,109.81500000000001
58,entry,4746,1,350.0555555555555,115.89393939393935
23,entry,4788,1,350.1105527638191,75.5778894472362
27,exit,4791,1,550.2663316582915,99.08542713567839
26,exit,4829,1,550.2100000000002,85.86499999999998
48,entry,4836,1,350.06999999999994,124.67000000000004
92,exit,4856,1,550.1199999999998,108.97999999999996
64,exit,4898,1,550,95.19597989949754
2,entry,4927,1,350.0251256281408,64.43718592964824
100,entry,4935,1,350.0151515151516,136.9040404040405
38,exit,4978,1,550.2537313432837,87.65174129353234
52,entry,4985,1,350.15000000000003,88.66999999999996
80,exit,5021,1,550.355,106.52500000000003
82,exit,5065,1,550.0150753768846,97.12060301507533
45,entry,5068,1,350.06,75.90499999999997
24,entry,5136,1,350.0301507537689,64.74371859296491
56,entry,5146,1,350.0299999999999,130.26
69,exit,5157,1,550.2388059701491,111.70149253731341
15,exit,5184,1,550.0849999999997,90.76999999999998
53,exit,5233,1,550.1111111111104,103.36868686868685
67,exit,5267,1,550.0251256281404,114.643216080402
90,entry,5300,1,350.02010050251255,136.23115577889448
25,exit,5312,1,550.075376884422,89.15577889447232
61,exit,5347,1,550.0349999999996,103.515
62,exit,5440,1,550.0251256281406,113.62814070351759
50,exit,5443,1,550.0200000000002,98.04500000000004
1,entry,5447,1,350.0452261306535,63.552763819095475
ID,Event,Frame,Cell kind,Coordinates
88,entry,1324,1,350.045,135.38500000000002
33,entry,1343,1,350.09045226130655,63.39195979899498
32,entry,1422,1,350.07575757575756,72.33838383838386
87,entry,1441,1,350.0808080808081,134.44949494949495
11,entry,1535,1,350.0000000000001,62.96446700507615
77,entry,1566,1,350.0402010050252,129.2914572864322
44,entry,1576,1,350.17000000000013,83.04499999999994
22,entry,1613,1,350.035175879397,73.0854271356784
99,entry,1625,1,350.14646464646484,136.540404040404
43,entry,1705,1,350.10552763819106,87.49246231155779
76,entry,1711,1,350.00000000000006,122.405
21,entry,1743,1,350.16080402010044,74.964824120603
10,entry,1765,1,350.0253807106598,64.09137055837563
86,entry,1774,1,350.0303030303033,131.23232323232324
42,entry,1825,1,350.0348258706468,88.05970149253733
98,entry,1862,1,350.0050251256279,136.35175879396965
20,entry,1867,1,350.1262626262626,69.12626262626262
85,entry,1917,1,350.0904522613065,126.16080402010056
75,entry,1930,1,350.01005025125636,115.32663316582918
31,entry,1946,1,350.0749999999999,81.44499999999998
9,entry,1979,1,350.07537688442216,67.0452261306533
41,entry,1981,1,350.15577889447235,91.33165829145729
97,entry,2032,1,350.09090909090907,133.5757575757576
30,entry,2078,1,350.1500000000001,80.96999999999996
19,entry,2082,1,350.1658291457286,65.40703517587943
74,entry,2119,1,350.09090909090935,118.39393939393935
96,entry,2176,1,350.060606060606,135.80808080808083
65,entry,2189,1,350.10101010101016,104.5808080808081
55,entry,2199,1,350.00505050505063,92.43939393939394
29,entry,2204,1,350.0151515151518,75.49999999999999
84,entry,2340,1,350.0808080808079,130.67171717171718
18,entry,2361,1,350.0606060606061,75.87373737373738
8,entry,2382,1,350.10152284263955,63.5228426395939
63,entry,2416,1,350.0100502512563,116.20603015075382
54,entry,2463,1,350.10606060606074,95.91919191919193
95,entry,2538,1,350.060606060606,137.20707070707078
83,entry,2548,1,350.07106598984774,126.98477157360409
7,entry,2558,1,350.11111111111137,68.73737373737373
73,entry,2657,1,350.0201005025124,115.32663316582915
16,entry,2683,1,350.02551020408157,67.97448979591837
64,entry,2684,1,350.1167512690356,104.65482233502536
17,entry,2718,1,350.12244897959175,85.90306122448986
88,exit,2745,1,550.0600000000003,106.33000000000003
33,exit,2802,1,550.2261306532663,94.82914572864321
94,entry,2852,1,350.0964467005074,127.99999999999984
6,entry,2863,1,350.1161616161618,63.8030303030303
87,exit,2863,1,550.1060606060607,102.75757575757578
82,entry,2865,1,350.04568527918786,113.4365482233503
32,exit,2890,1,550.0050251256279,89.10552763819094
