ID,Event,Frame,Cell kind,Coordinates
88,entry,755,1,350.0099999999999,131.05000000000004
33,entry,771,1,350.24,64.61
99,entry,805,1,350.0909090909093,137.23232323232335
44,entry,814,1,350.22110552763843,76.55276381909546
87,entry,825,1,350.2100000000001,125.32499999999997
21,entry,832,1,350.2676767676768,64.86363636363633
43,entry,875,1,350.20202020202044,77.31818181818183
77,entry,880,1,350.00000000000006,118.25252525252523
98,entry,884,1,350.1725888324873,136.4923857868021
11,entry,902,1,350.0101522842637,63.588832487309666
75,entry,925,1,350.10101010101005,126.46969696969698
32,entry,942,1,350.03030303030295,86.6818181818181
76,entry,948,1,350.08121827411173,114.95431472081215
20,entry,954,1,350.18499999999995,76.83499999999998
22,entry,967,1,350.0862944162436,63.274111675126925
97,entry,977,1,350.08717948717964,137.3897435897436
31,entry,1002,1,350.25641025641033,75.72820512820512
66,entry,1015,1,350.11000000000024,115.90499999999997
86,entry,1018,1,350.1979695431473,127.69543147208127
55,entry,1034,1,350.02999999999963,96.19999999999999
10,entry,1039,1,350.0306122448979,63.28061224489797
30,entry,1072,1,350.0804020100503,80.05527638190948
96,entry,1077,1,350.17171717171703,134.32828282828288
42,entry,1082,1,350.09793814432993,92.69587628865979
19,entry,1101,1,350.16923076923104,68.77435897435903
85,entry,1107,1,350.0255102040817,112.46428571428578
74,entry,1144,1,350.1428571428571,123.99489795918365
29,entry,1161,1,350.1302083333334,82.18229166666667
18,entry,1168,1,350.0932642487048,66.97409326424872
84,entry,1189,1,350.1614583333333,132.75520833333326
64,entry,1211,1,350.20312499999983,109.67708333333327
41,entry,1263,1,350.04232804232805,91.81481481481481
9,entry,1265,1,350.12041884816773,65.30366492146595
73,entry,1276,1,350.19689119170965,119.83419689119171
53,entry,1297,1,350.05235602094245,101.76963350785344
83,entry,1298,1,350.12500000000017,136.23437499999997
17,entry,1304,1,350.078125,81.16666666666666
82,entry,1344,1,350.1052631578949,124.70526315789472
28,entry,1394,1,350.1361256544503,80.01047120418849
7,entry,1401,1,350.05789473684206,62.82631578947368
65,entry,1419,1,350.0257731958763,112.42783505154635
39,entry,1426,1,350.05759162303644,96.34031413612567
93,entry,1437,1,350.05235602094245,135.1675392670157
16,entry,1452,1,350.1263157894737,74.53157894736846
71,entry,1477,1,350.17187500000017,119.10937499999999
88,exit,1485,1,550.3668341708537,106.29145728643215
40,entry,1507,1,350.041237113402,99.02577319587628
33,exit,1531,1,550.2663316582915,96.94974874371859
72,entry,1531,1,350.13020833333354,134.53645833333334
21,exit,1540,1,550.1457286432159,87.43718592964832
8,entry,1542,1,350.0416666666668,66.07812500000003
99,exit,1547,1,550.070351758794,110.89949748743717
63,entry,1592,1,350,109.41752577319589
44,exit,1593,1,550.0297029702966,100.99504950495049
43,exit,1595,1,550.1658291457286,82.43216080402006
70,entry,1597,1,350.26041666666686,122.81770833333333
15,entry,1615,1,350.0310880829016,67.32124352331603
38,entry,1627,1,350.0309278350514,98.51546391752576
98,exit,1633,1,550.0995024875626,113.67164179104479
11,exit,1642,1,550.0497512437811,82.19900497512434
87,exit,1645,1,550.1868686868685,99.69696969696969
27,entry,1657,1,350.0829015544042,87.08290155440415
92,entry,1676,1,350.1243523316062,126.96373056994824
77,exit,1688,1,550.14,101.71999999999996
75,exit,1701,1,550.3134328358209,119.72139303482587
22,exit,1709,1,550.0102040816321,83.57653061224487
36,entry,1709,1,350.0103626943005,79.76683937823833
81,entry,1722,1,350.0155440414508,136.07772020725386
