ID,Event,Frame,Cell kind,Coordinates
33,entry,745,1,350.1492537313432,69.79104477611936
22,entry,792,1,350.1890547263682,66.68159203980099
99,entry,814,1,350.265,133.37499999999994
11,entry,857,1,350.4427860696519,66.54228855721392
44,entry,899,1,350.055,80.33499999999994
77,entry,914,1,350.13432835820913,130.0497512437811
10,entry,948,1,350.18905472636834,71.67164179104476
32,entry,948,1,350.18090452261305,88.67336683417088
98,entry,963,1,350.0203045685279,134.66497461928938
66,entry,984,1,350.4900000000001,117.73999999999998
20,entry,999,1,350.19,66.41499999999999
21,entry,1012,1,350.3300000000002,85.55000000000003
76,entry,1034,1,350.1641791044776,119.79104477611942
31,entry,1065,1,350.22613065326607,78.69849246231159
88,entry,1066,1,350.12999999999994,134.28499999999994
42,entry,1069,1,350.1542288557214,93.0547263681592
86,entry,1084,1,350.2010050251256,120.39195979899498
9,entry,1098,1,350.0099502487564,64.40796019900499
30,entry,1125,1,350.195,82.12500000000004
65,entry,1146,1,350.0251256281408,125.09045226130657
8,entry,1171,1,350.2727272727274,66.48989898989893
43,entry,1174,1,350.195,92.41500000000003
41,entry,1176,1,350.1658291457287,78.56281407035176
75,entry,1223,1,350.3216080402011,120.2060301507537
96,entry,1229,1,350.2835820895521,132.07462686567175
7,entry,1246,1,350.01507537688445,63.854271356783876
6,entry,1263,1,350.05000000000007,78.10499999999998
74,entry,1267,1,350.045226130653,112.61306532663319
40,entry,1268,1,350.0845771144278,96.75124378109449
97,entry,1305,1,350.0357142857142,137.75000000000006
64,entry,1321,1,350.0355329949238,91.62436548223353
5,entry,1347,1,350.0959595959596,65.4343434343434
84,entry,1350,1,350.1206030150752,112.63819095477388
95,entry,1368,1,350.1969696969698,126.87373737373743
29,entry,1381,1,350.09045226130667,77.42713567839196
52,entry,1400,1,350.08629441624373,87.77157360406092
17,entry,1442,1,350.0404040404042,66.53030303030297
33,exit,1470,1,550.1287128712868,90.8019801980198
87,entry,1470,1,350.0050505050504,126.68686868686868
22,exit,1518,1,550.0945273631837,98.12437810945273
19,entry,1535,1,350.0100502512565,64.00502512562814
83,entry,1542,1,350.01515151515156,128.28787878787878
18,entry,1572,1,350.1326530612247,73.6173469387755
99,exit,1574,1,550.3168316831683,103.33663366336633
71,entry,1581,1,350.17857142857173,101.21428571428571
81,entry,1602,1,350.1071428571429,115.8418367346939
39,entry,1610,1,350.0153846153848,85.72820512820519
94,entry,1646,1,350.0100502512562,133.6733668341709
11,exit,1652,1,550.0050251256276,105.62311557788948
77,exit,1679,1,550.1400000000002,117.19000000000003
51,entry,1689,1,350.1472081218273,109.73096446700504
38,entry,1702,1,350.17766497461906,81.09137055837563
44,exit,1709,1,550.2139303482583,98.09950248756218
66,exit,1720,1,550.1414141414139,123.47979797979805
32,exit,1732,1,550.1649999999997,108.36499999999994
70,entry,1732,1,350.0101010101009,128.05050505050502
98,exit,1776,1,550.0199004975124,119.07462686567166
73,entry,1778,1,350.0355329949238,117.06598984771571
4,entry,1785,1,350.0205128205127,66.74871794871797
10,exit,1787,1,550.1542288557212,103.36815920398014
28,entry,1811,1,350.0765306122451,78.68367346938776
21,exit,1815,1,550.1194029850742,95.67164179104476
54,entry,1824,1,350.0561224489796,101.36734693877554
76,exit,1843,1,550.1243781094527,113.54228855721394
20,exit,1858,1,550.0552763819092,92.09547738693468
93,entry,1902,1,350.19696969696946,118.31313131313128
26,entry,1914,1,350.10101010100976,87.64646464646461
31,exit,1918,1,550.0100502512563,88.32663316582915
86,exit,1930,1,550.0499999999996,107.99500000000006
80,entry,1960,1,350.12690355329954,107.8578680203046
