ID,Event,Frame,Cell kind,Coordinates,
59,exit,4633,1,550.1464646,95.95454545
91,exit,4656,1,550.0502513,109.6130653
62,entry,4723,1,350.03,118.87
2,entry,4724,1,350,63.08040201
15,exit,4728,1,550.265,85.11
28,exit,4749,1,550.04,105.26
68,entry,4757,1,350.0100503,108.1557789
34,entry,4782,1,350.1010101,92.92929293
36,entry,4796,1,350.0555556,73.73737374
35,entry,4814,1,350.0808081,128.3787879
24,exit,4819,1,550.0301508,88.52261307
16,exit,4830,1,550.07,106.03
82,exit,4887,1,550.0351759,116.678392
27,exit,4914,1,550.1005025,91.74371859
79,exit,4946,1,550.05,108.085
49,entry,4955,1,350.1005025,87.18090452
81,exit,5014,1,550.1507538,100.2713568
78,entry,5015,1,350.0904523,131.1356784
45,entry,5051,1,350.1909548,77.46733668
61,exit,5092,1,550.25,112.6
14,exit,5110,1,550.080402,90.40703518
12,entry,5130,1,350.145,67.255
39,exit,5133,1,550.1758794,102.3919598
100,entry,5204,1,350.0555556,135.7424242
71,exit,5217,1,550.125,94.155
80,exit,5220,1,550.080402,111.0201005
5,exit,5321,1,550.005,97.69
1,entry,5346,1,350.1507538,63.65829146
69,exit,5386,1,550.035,104.605
51,exit,5478,1,550.07,92.875
ID,Event,Frame,Cell kind,Coordinates,
33,entry,1343,1,350.215,66.155
88,entry,1400,1,350.2261307,134.3819095
11,entry,1505,1,350.0050251,62.92462312
22,entry,1509,1,350.040404,72.86868687
76,entry,1528,1,350.010101,125.4242424
44,entry,1542,1,350.0653266,83.22110553
99,entry,1545,1,350.0552764,137.0502513
32,entry,1628,1,350.1969697,76.66666667
87,entry,1632,1,350.1055276,126.1256281
43,entry,1651,1,350.0707071,90.34848485
10,entry,1688,1,350.020202,65.54040404
77,entry,1733,1,350.2029703,115.5148515
86,entry,1742,1,350.1256281,129.6281407
31,entry,1744,1,350.0606061,79.05555556
55,entry,1789,1,350.1658291,90.53266332
21,entry,1808,1,350.0252525,65.5
98,entry,1811,1,350.0555556,136.020202
75,entry,1875,1,350.1767677,114.0808081
30,entry,1897,1,350.0251256,78.51256281
85,entry,1902,1,350.0507614,124.7106599
8,entry,1941,1,350.1319797,63.85786802
42,entry,1951,1,350.0904523,96.52763819
96,entry,1956,1,350.0656566,134.7070707
20,entry,1991,1,350.020202,77.83333333
7,entry,2088,1,350.020202,64.91414141
95,entry,2130,1,350.0353535,135.010101
41,entry,2176,1,350.0203046,83.64467005
74,entry,2180,1,350.0609137,119.1522843
53,entry,2227,1,350.0353535,94.85858586
66,entry,2246,1,350.2828283,106.1919192
19,entry,2268,1,350.1868687,74.73737374
9,entry,2306,1,350.0507614,65.09137056
94,entry,2311,1,350.1319797,136.5025381
29,entry,2440,1,350.0653266,82.96482412
64,entry,2461,1,350.142132,107.7106599
17,entry,2493,1,350.0909091,66.34848485
84,entry,2509,1,350.0964467,116.7309645
97,entry,2540,1,350.0406091,137.2081218
40,entry,2548,1,350.0152284,97.12690355
18,entry,2604,1,350.020202,65.44949495
73,entry,2630,1,350.0507614,120.857868
38,entry,2726,1,350.030303,84.96464646
33,exit,2731,1,550.2089552,85.37313433
93,entry,2744,1,350.1370558,135.6598985
6,entry,2755,1,350.0151515,66.17171717
88,exit,2790,1,550.0603015,103.5929648
83,entry,2799,1,350.0252525,120.0707071
76,exit,2810,1,550.0251256,113.718593
22,exit,2817,1,550,92.225
28,entry,2870,1,350.0203046,77.34010152
52,entry,2880,1,350.0351759,96.78894472
44,exit,2897,1,550.080402,103.2613065
11,exit,2904,1,550.1708543,84.18090452
81,entry,2910,1,350.1515152,133.0555556
5,entry,2927,1,350.0051282,64.97435897
99,exit,2941,1,550.040201,116.0703518
32,exit,2979,1,550.1959799,93.06532663
71,entry,3002,1,350.010101,108.1262626
43,exit,3003,1,550.1691542,103.5174129
27,entry,3026,1,350,87.46969697
87,exit,3067,1,550.21,113.46
92,entry,3090,1,350,136.5376884
10,exit,3092,1,550.15,94.07
4,entry,3107,1,350.035533,64.25888325
72,entry,3143,1,350.0858586,114.9242424
16,entry,3148,1,350.1573604,81.13705584
31,exit,3165,1,550.045,84.205
77,exit,3175,1,550.1306533,99.78894472
86,exit,3193,1,550.0452261,116.3417085
82,entry,3209,1,350.0100503,123
21,exit,3268,1,550.105,85.89
55,exit,3279,1,550.1105528,103.8291457
98,exit,3295,1,550.04,116.885
3,entry,3309,1,350.005102,63.45408163
39,entry,3312,1,350.020202,94.27272727
25,entry,3336,1,350.201005,83.85929648
30,exit,3357,1,550.0895522,91.54228856
69,entry,3370,1,350.030303,125.7929293
85,exit,3378,1,550.065,107.38
8,exit,3467,1,550.0050251,93.97487437
91,entry,3483,1,350.1370558,135.4263959
26,entry,3489,1,350.0757576,81.68686869
20,exit,3517,1,550.040201,102.2361809
96,exit,3528,1,550.0251256,112.1256281
15,entry,3544,1,350.0151515,64.17676768
70,entry,3577,1,350.0909091,122.7323232
7,exit,3591,1,550.19,91.19
60,entry,3661,1,350.0151515,108.2878788
75,exit,3667,1,550.1356784,104.9045226
42,exit,3709,1,550.005,91.37
95,exit,3712,1,550.1060606,114.9646465
51,entry,3719,1,350.010101,89.3989899
90,entry,3725,1,350.0757576,135.8434343
36,entry,3759,1,350.040201,67.7638191
63,entry,3761,1,350.0251256,118.2311558
19,exit,3765,1,550.0854271,79.77386935
24,entry,3796,1,350.02,81.205
41,exit,3808,1,550.085,102.45
9,exit,3838,1,550.0201005,88.48743719
66,exit,3840,1,550.075,115.02
62,entry,3866,1,350.1005025,98.80904523
53,exit,3911,1,550.06,103.78
78,entry,3912,1,350,136.989899
80,entry,3925,1,350.0151515,123.7727273
29,exit,3955,1,550.1256281,93.49748744
74,exit,3977,1,550.080402,115.9899497
50,entry,4021,1,350.120603,79.09045226
17,exit,4031,1,550.0151515,87.48989899
64,exit,4050,1,550.159204,102.6318408
94,exit,4091,1,550.125,113.21
14,entry,4096,1,350.071066,62.5786802
59,entry,4100,1,350.0100503,118.7135678
54,entry,4161,1,350.15,127.735
18,exit,4162,1,550.055,90.18
61,entry,4177,1,350.0757576,102.9494949
12,entry,4178,1,350.0150754,75.54773869
84,exit,4188,1,550.0606061,104.7020202
97,exit,4217,1,550.1557789,117.6532663
37,entry,4235,1,350.1155779,90.35175879
40,exit,4238,1,550.0653266,92.95979899
67,entry,4302,1,350.1370558,133.0812183
73,exit,4302,1,550.1256281,107.4271357
6,exit,4359,1,550.0653266,94.25125628
34,entry,4369,1,350.0703518,77.58291457
38,exit,4385,1,550.105,111.915
57,entry,4420,1,350.0251256,118.0251256
28,exit,4435,1,550.085,90.715
2,entry,4474,1,350.0552764,63.87939698
93,exit,4478,1,550.2512563,105.7437186
100,entry,4548,1,350.03,136.265
5,exit,4553,1,550.0995025,92.8358209
49,entry,4559,1,350.11,101.235
83,exit,4601,1,550.2020202,105.5707071
47,entry,4602,1,350.1005025,77.53266332
35,entry,4603,1,350.1010101,92.55050505
16,exit,4635,1,550.005,91.995
58,entry,4662,1,350.0301508,119.9045226
81,exit,4689,1,550.1457286,111.1306533
52,exit,4722,1,550.025,99.025
65,entry,4772,1,350.030303,108.5252525
46,entry,4775,1,350.0603015,86.33668342
1,entry,4779,1,350.1111111,65.05050505
82,exit,4822,1,550.0351759,115.3417085
68,entry,4837,1,350.0151515,122.8080808
4,exit,4839,1,550.03,93.56
72,exit,4851,1,550.0150754,104.3115578
89,entry,4897,1,350.0452261,135.9648241
56,entry,4908,1,350.0301508,77.85427136
27,exit,4920,1,550.1306533,84.89447236
92,exit,4951,1,550.0502513,112.5477387
23,entry,4983,1,350.1262626,66.86363636
69,exit,4995,1,550.07,96.32
91,exit,5076,1,550.095,109.62
25,exit,5098,1,550.235,87.545
71,exit,5150,1,550.0703518,101.9447236
79,entry,5175,1,350.160804,136.3065327
3,exit,5201,1,550.025,82.08
70,exit,5221,1,550,113.13
13,entry,5228,1,350.0954774,63.47236181
39,exit,5229,1,550.07,97.125
26,exit,5312,1,550.1758794,87.04522613
51,exit,5331,1,550.1356784,103.281407
15,exit,5409,1,550.01,94.02
90,exit,5411,1,550.205,109.675
80,exit,5474,1,550.030303,120.8282828
ID,Event,Frame,Cell kind,Coordinates,
11,entry,1271,1,350.09,67.165
22,entry,1372,1,350.1111111,63.35353535
44,entry,1422,1,350.0603015,76.18592965
88,entry,1423,1,350.0150754,136.6180905
21,entry,1512,1,350.1005025,63.53266332
33,entry,1534,1,350.0050505,74.66161616
77,entry,1550,1,350.0201005,127.6130653
43,entry,1598,1,350.205,84.865
99,entry,1639,1,350.0050505,136.4949495
20,entry,1645,1,350.1809045,68.93969849
87,entry,1686,1,350.08,123.395
32,entry,1701,1,350.0452261,85.06532663
10,entry,1753,1,350.0454545,64.37373737
98,entry,1754,1,350.1010101,135.6363636
31,entry,1765,1,350.0251256,79.61306533
75,entry,1793,1,350.0502513,124.1256281
42,entry,1854,1,350.0904523,75.34170854
76,entry,1854,1,350.01,115.055
55,entry,1859,1,350.1010101,89.91919192
86,entry,1878,1,350.0252525,132.8030303
19,entry,1901,1,350.0653266,63.76884422
74,entry,1959,1,350.055,113.1
30,entry,1982,1,350.06,78.18
7,entry,2035,1,350.201005,66.46733668
96,entry,2035,1,350.1313131,136.5606061
85,entry,2071,1,350.0707071,124.2020202
53,entry,2125,1,350,94.42211055
40,entry,2190,1,350.0909091,83.0959596
65,entry,2207,1,350.010101,109.4292929
18,entry,2213,1,350.0505051,69.54040404
73,entry,2297,1,350.0757576,119.1363636
84,entry,2297,1,350.0555556,132.0959596
9,entry,2354,1,350.0050761,63.20304569
28,entry,2424,1,350.010101,86.63131313
97,entry,2447,1,350.0507614,131.8832487
6,entry,2455,1,350.0150754,75.79396985
63,entry,2508,1,350.0808081,106.2373737
8,entry,2560,1,350.1472081,63.45685279
95,entry,2581,1,350.0558376,132.4619289
11,exit,2628,1,550.080402,94.76884422
94,entry,2656,1,350.0454545,115.5151515
17,entry,2700,1,350.0357143,74.4744898
