ID,Event,Frame,Cell kind,Coordinates
66,entry,1320,1,350.0854271356785,120.78391959798996
33,entry,1333,1,350.10499999999985,64.05499999999996
55,entry,1402,1,350.1919191919194,74.84343434343437
44,entry,1506,1,350.04522613065336,69.12060301507537
43,entry,1545,1,350.29,80.94499999999998
88,entry,1561,1,350.18592964824114,132.72361809045233
77,entry,1581,1,350.0854271356781,114.77386934673369
76,entry,1628,1,350.12562814070344,122.28140703517592
99,entry,1634,1,350.01005025125625,135.2964824120603
31,entry,1653,1,350.0050251256282,83.64321608040203
11,entry,1659,1,350.08040201005025,62.54773869346733
22,entry,1707,1,350.06060606060623,71.86868686868685
42,entry,1714,1,350.0099999999999,93.88
75,entry,1754,1,350.1313131313132,116.8787878787879
32,entry,1764,1,350.0050505050505,82.45959595959592
65,entry,1813,1,350.0201005025125,108.52763819095476
98,entry,1819,1,350.0456852791881,136.47715736040604
53,entry,1827,1,350.12182741116754,98.47715736040604
87,entry,1829,1,350.18274111675146,123.4873096446701
30,entry,1850,1,350.1472081218271,87.6802030456853
20,entry,1853,1,350.01010101010087,70.98989898989898
85,entry,1921,1,350.0000000000003,119.86363636363636
64,entry,1982,1,350.00505050505035,107.14646464646465
41,entry,2004,1,350.0862944162436,83.25888324873098
18,entry,2009,1,350.03030303030306,73.33838383838383
10,entry,2012,1,350.0152284263959,62.66497461928931
86,entry,2060,1,350.02551020408174,126.94387755102038
54,entry,2076,1,350.0606060606062,94.4595959595959
74,entry,2082,1,350.0612244897959,115.38775510204084
29,entry,2220,1,350.09644670050744,89.8527918781726
97,entry,2226,1,350.01015228426405,137.0659898477157
62,entry,2261,1,350.0561224489798,123.30612244897962
63,entry,2270,1,350.0203045685278,100.85786802030458
8,entry,2274,1,350.09183673469397,63.51020408163264
61,entry,2289,1,350.03061224489795,112.96428571428567
17,entry,2296,1,350.0858585858584,77.2070707070707
52,entry,2411,1,350.03571428571445,90.33673469387755
60,entry,2436,1,350.0304568527918,106.51776649746189
40,entry,2482,1,350.09693877551024,77.29081632653063
72,entry,2507,1,350.01522842639605,119.12690355329947
50,entry,2549,1,350.0355329949239,98.51269035532991
84,entry,2564,1,350.0203045685278,134.50761421319794
55,exit,2589,1,550.0050251256279,93.88442211055276
39,entry,2593,1,350.1370558375634,83.50253807106601
66,exit,2619,1,550.0351758793963,104.08040201005022
33,exit,2687,1,550.1005025125625,90.90452261306532
28,entry,2693,1,350.0871794871796,69.36410256410254
49,entry,2710,1,350.1464646464645,98.33333333333336
88,exit,2738,1,550.035,106.10499999999999
83,entry,2747,1,350.12121212121224,124.22727272727266
43,exit,2783,1,550.0049751243777,91.76119402985078
71,entry,2788,1,350.13705583756354,107.13197969543147
51,entry,2796,1,350.10101010101033,90.43939393939395
77,exit,2813,1,550.0858585858579,114.54040404040403
44,exit,2838,1,550.2249999999998,81.95999999999998
31,exit,2865,1,550.3800000000001,103.46999999999993
73,entry,2875,1,350.010152284264,133.48730964467006
70,entry,2888,1,350.06060606060606,117.95454545454547
22,exit,2918,1,550.0552763819094,91.00502512562815
21,entry,2925,1,350.0051020408164,63.00510204081633
76,exit,2941,1,550.1565656565654,114.83838383838388
37,entry,2957,1,350.0555555555556,78.23737373737374
42,exit,2987,1,550,99.50499999999998
38,entry,3008,1,350.0456852791879,89.37055837563457
75,exit,3029,1,550.0351758793968,111.2663316582914
95,entry,3045,1,350.08121827411196,135.13705583756342
58,entry,3049,1,350.16080402010056,108.7286432160804
11,exit,3050,1,550.3015075376883,88.23618090452258
99,exit,3113,1,550.0100000000003,111.195
65,exit,3143,1,550.145728643216,100.37688442211049
16,entry,3157,1,350.0510204081633,67.01530612244898
32,exit,3173,1,550.0757575757575,86.32323232323232
87,exit,3188,1,550.0649999999998,116.21
59,entry,3191,1,350.0913705583754,103.64467005076145
69,entry,3215,1,350.1414141414141,115.56060606060609
82,entry,3227,1,350.0100502512563,126.81909547738692
25,entry,3235,1,350.1928934010154,91.48730964467005
26,entry,3257,1,350.12060301507546,78.64824120603016
53,exit,3270,1,550.030150753769,93.69849246231155
85,exit,3304,1,550.0749999999998,108.35000000000002
30,exit,3365,1,550.1094527363185,96.90049751243778
20,exit,3373,1,550.0552763819097,82.81407035175884
7,entry,3387,1,350.0867346938773,63.01530612244896
64,exit,3414,1,550.0251256281404,107.62814070351762
96,entry,3421,1,350.015228426396,136.8274111675127
57,entry,3469,1,350.04060913705615,113.19289340101524
98,exit,3472,1,550.1105527638191,114.88442211055276
41,exit,3484,1,550.0299999999996,89.82000000000004
27,entry,3486,1,350.020304568528,73.78172588832486
24,entry,3502,1,350.10101010101016,85.78787878787878
54,exit,3543,1,550.1859296482415,99.678391959799
18,exit,3594,1,550.0099999999996,85.53999999999999
74,exit,3597,1,550.0150753768839,106.60301507537689
47,entry,3630,1,350.04040404040427,106.28282828282829
35,entry,3679,1,350.0454545454547,92.54040404040403
63,exit,3688,1,550.0899999999996,109.26999999999998
81,entry,3702,1,350.0252525252523,133.05555555555554
80,entry,3712,1,350.06060606060635,120.8484848484848
5,entry,3729,1,350.0050505050504,64.08585858585859
29,exit,3740,1,550.1150000000002,94.62999999999998
10,exit,3756,1,550.085,84.29000000000002
14,entry,3777,1,350.040404040404,80.72727272727273
61,exit,3821,1,550.0201005025125,102.06532663316581
86,exit,3837,1,550.0149253731347,114.20398009950246
52,exit,3930,1,550.005,103.55000000000004
17,exit,3945,1,550.045226130653,90.40703517587939
2,entry,3947,1,350.0151515151513,75.56060606060602
48,entry,3950,1,350.0203045685279,110.27918781725892
62,exit,3966,1,550.1449999999998,115.28999999999995
91,entry,4016,1,350.1919191919192,137.10101010101025
19,entry,4026,1,350.11616161616155,63.65656565656568
60,exit,4026,1,550.1094527363181,99.81094527363189
36,entry,4067,1,350.06060606060623,90.09595959595963
40,exit,4070,1,550.1049999999998,86.46499999999995
50,exit,4097,1,550.1150000000004,112.21499999999996
72,exit,4112,1,550.1050000000005,100.98500000000003
8,exit,4177,1,550.0200000000001,87.49500000000003
90,entry,4184,1,350.0710659898479,127.61421319796956
46,entry,4202,1,350.04020100502504,95.80904522613064
67,entry,4236,1,350.0555555555557,110.72222222222224
15,entry,4243,1,350,72.82828282828284
97,exit,4255,1,550.0050251256279,106.71356783919602
49,exit,4263,1,550.0404040404044,96.06565656565654
39,exit,4338,1,550.1206030150751,86.42211055276383
13,entry,4361,1,350.04545454545456,86.56565656565657
45,entry,4365,1,350.0303030303031,100.57070707070714
83,exit,4375,1,550.1356783919596,100.04522613065323
6,entry,4404,1,350.0703517587941,65.26130653266328
79,entry,4409,1,350.13197969543165,117.76142131979698
89,entry,4409,1,350.01010101010104,131.37878787878782
84,exit,4442,1,550.1849999999996,111.01500000000006
51,exit,4484,1,550.1256281407033,95.39698492462313
71,exit,4535,1,550.0350000000002,108.41999999999996
12,entry,4546,1,350.06030150753776,78.19597989949752
94,entry,4562,1,350.04040404040404,133.6161616161616
70,exit,4569,1,550.0904522613067,92.60804020100507
56,entry,4615,1,350.0301507537688,105.65829145728647
73,exit,4638,1,550.1249999999997,109.68500000000002
28,exit,4673,1,550.0499999999996,86.32499999999996
34,entry,4682,1,350.0603015075377,95.57286432160804
58,exit,4713,1,550.0650000000003,100.76500000000001
9,entry,4755,1,350.14646464646466,64.35858585858584
21,exit,4770,1,550.0099999999996,89.72500000000002
1,entry,4791,1,350.0552763819098,78.2462311557789
95,exit,4805,1,550.1507537688442,109.19095477386934
78,entry,4812,1,350.0050000000002,121.8
68,entry,4824,1,350.0050251256284,110.6532663316583
23,entry,4836,1,350.02512562814064,89.15577889447236
37,exit,4852,1,550.145728643216,89.62311557788937
38,exit,4925,1,550.0603015075375,103.60301507537689
16,exit,4957,1,550.1507537688444,88.49748743718592
69,exit,4961,1,550.0100502512561,114.63819095477382
100,entry,4995,1,350.04522613065313,125.47738693467335
3,entry,5001,1,350.0050251256281,69.46231155778891
92,entry,5016,1,350.0050251256281,134.98492462311557
59,exit,5050,1,550.09,97.80999999999997
82,exit,5093,1,550.0149999999999,110.745
26,exit,5145,1,550.065,88.97999999999996
24,exit,5162,1,550.2211055276383,102.66834170854275
4,entry,5199,1,350.09045226130655,64.77386934673362
57,exit,5250,1,550.0900000000003,103.97000000000001
7,exit,5297,1,550.0099999999999,90.8500000000001
96,exit,5337,1,550.0449999999994,109.33000000000003
93,entry,5417,1,350.18592964824126,135.89949748743726
27,exit,5422,1,550.140703517588,87.71356783919596
25,exit,5442,1,550.110552763819,105.42713567839199
ID,Event,Frame,Cell kind,Coordinates
44,entry,1465,1,350.3115577889447,80.69346733668338
66,entry,1474,1,350.1940298507462,112.74626865671644
55,entry,1480,1,350.075376884422,99.33165829145733
33,entry,1524,1,350.0050251256281,66.9346733668342
88,entry,1552,1,350.0100502512561,135.87939698492463
65,entry,1580,1,350.0050251256282,107.80904522613069
43,entry,1591,1,350.0799999999999,83.55999999999995
54,entry,1599,1,350.0452261306533,95.73869346733662
77,entry,1626,1,350.01005025125625,118.92462311557787
22,entry,1641,1,350.035175879397,62.91959798994976
32,entry,1658,1,350.0950000000002,76.74500000000003
76,entry,1679,1,350.1105527638192,128.8743718592966
42,entry,1694,1,350.105527638191,89.33668341708544
