ID,Event,Frame,Cell kind,Coordinates,
77,entry,1339,1,350.03,114.97
22,entry,1399,1,350.0050505,64.19191919
99,entry,1426,1,350.0301508,135.6683417
66,entry,1460,1,350.06,115.745
44,entry,1482,1,350.06,76.8
33,entry,1544,1,350.2020202,65.11111111
55,entry,1568,1,350.22,88.47
65,entry,1584,1,350.0251256,114.0150754
88,entry,1593,1,350.0505051,136.979798
43,entry,1642,1,350.0251256,75.4321608
53,entry,1658,1,350.235,86.53
76,entry,1658,1,350.0904523,120.8090452
54,entry,1673,1,350.0606061,97.82828283
32,entry,1692,1,350.1155779,66.0201005
64,entry,1692,1,350.4040404,107.7222222
86,entry,1721,1,350.0904523,129.8542714
42,entry,1774,1,350.0505051,82.65656566
75,entry,1790,1,350.0301508,116.2964824
52,entry,1848,1,350.030303,95.01010101
96,entry,1850,1,350.0858586,126.7979798
21,entry,1858,1,350.1167513,64.18274112
31,entry,1929,1,350.0151515,75.45959596
63,entry,1933,1,350.040404,105.8838384
40,entry,1984,1,350.0816327,85.56632653
87,entry,1999,1,350.035533,137.1522843
85,entry,2034,1,350.005102,126.4540816
51,entry,2047,1,350.1370558,95.93908629
20,entry,2052,1,350.0964467,64.50761421
19,entry,2144,1,350.2244898,76.19387755
62,entry,2148,1,350.0050251,105.3718593
74,entry,2154,1,350,115.7979798
95,entry,2224,1,350.1565657,127.530303
41,entry,2262,1,350.0456853,90.15736041
18,entry,2351,1,350.1212121,73.67676768
11,entry,2355,1,350.0253807,63.01015228
72,entry,2363,1,350.0152284,111.1827411
50,entry,2460,1,350.035533,100.9390863
39,entry,2485,1,350.0761421,85.88324873
17,entry,2557,1,350.0102564,66.63076923
73,entry,2557,1,350.0307692,120.2
61,entry,2580,1,350.0862944,108.893401
97,entry,2601,1,350.0612245,133.2857143
77,exit,2628,1,550.0150754,112.080402
38,entry,2708,1,350.1218274,90.07614213
22,exit,2727,1,550.0753769,94.95477387
10,entry,2746,1,350.106599,64.24365482
66,exit,2761,1,550.2713568,109.1256281
30,entry,2766,1,350.1624365,75.70558376
71,entry,2794,1,350.0102041,112.8826531
44,exit,2800,1,550.0251256,83.38190955
49,entry,2820,1,350.1015228,100.0203046
55,exit,2821,1,550,99.42
98,entry,2881,1,350.0101523,136.7309645
99,exit,2885,1,550.2211055,112.2512563
65,exit,2901,1,550.0653266,86.81407035
29,entry,2912,1,350.0505051,87.58080808
53,exit,2956,1,550.1356784,102.4673367
84,entry,2964,1,350.0459184,123.7346939
76,exit,2993,1,550.0497512,115.4378109
33,exit,2997,1,550.040201,88.98994975
8,entry,3004,1,350.0203046,73.04568528
28,entry,3036,1,350.0306122,101.8214286
43,exit,3052,1,550.1356784,98.30150754
88,exit,3079,1,550.06,111.8
37,entry,3099,1,350.1015228,87.25380711
60,entry,3124,1,350.0406091,111.4619289
32,exit,3155,1,550.0854271,87.13065327
54,exit,3168,1,550.12,99.545
64,exit,3176,1,550.18,116.08
16,entry,3207,1,350.0862944,76.9035533
47,entry,3210,1,350.0959596,98.2020202
70,entry,3243,1,350.0353535,118.4848485
9,entry,3251,1,350.1116751,62.56345178
52,exit,3270,1,550.1758794,103.8040201
93,entry,3286,1,350.0656566,136.7272727
86,exit,3308,1,550.14,114.73
26,entry,3337,1,350.020202,89.00505051
42,exit,3349,1,550.2160804,93.6281407
83,entry,3365,1,350.0507614,125.2639594
6,entry,3398,1,350.0050505,74.53030303
59,entry,3418,1,350.0454545,104.2979798
21,exit,3420,1,550.0555556,85.38888889
63,exit,3422,1,550.0100503,100.8693467
75,exit,3441,1,550.2160804,115.0050251
40,exit,3509,1,550.0251256,98.85929648
90,entry,3509,1,350.0862944,134.3604061
31,exit,3533,1,550.1758794,81.36180905
85,exit,3553,1,550.0753769,113.4271357
69,entry,3567,1,350.0761421,118.4010152
58,entry,3578,1,350.0452261,95.84422111
15,entry,3588,1,350.0353535,63.77777778
51,exit,3602,1,550.0753769,99.40201005
19,exit,3642,1,550.165,85.835
62,exit,3653,1,550.145,112.27
27,entry,3659,1,350.0201005,87.83417085
46,entry,3684,1,350.0761421,107.1167513
41,exit,3707,1,550.1414141,94.71212121
96,exit,3770,1,550.0707071,114.9545455
74,exit,3772,1,550.0050251,101.7839196
80,entry,3799,1,350.0304569,129.9492386
68,entry,3808,1,350.030303,116.989899
20,exit,3846,1,550.145,89.35
25,entry,3874,1,350.0757576,84.02020202
72,exit,3874,1,550.03,115.28
18,exit,3891,1,550.120603,103.120603
5,entry,3895,1,350.0609137,64.76142132
13,entry,3905,1,350.0304569,75.29949239
92,entry,3981,1,350.120603,137.1658291
95,exit,3990,1,550.04,112.35
11,exit,3992,1,550.1407035,89.03517588
35,entry,4043,1,350.0100503,101.3316583
50,exit,4051,1,550.1909548,97.03517588
61,exit,4110,1,550.02,106.785
7,entry,4128,1,350.0757576,63.18686869
12,entry,4137,1,350.1565657,74.3989899
39,exit,4145,1,550.2238806,88.12437811
91,entry,4153,1,350.0505051,132.6111111
87,exit,4174,1,550.1005025,114.2512563
36,entry,4191,1,350.080402,94.37688442
38,exit,4235,1,550.1155779,97.11557789
56,entry,4235,1,350.0757576,109.9191919
67,entry,4256,1,350.1708543,121.0100503
73,exit,4270,1,550.1293532,112.159204
14,entry,4296,1,350.05,87.19
17,exit,4321,1,550.3484848,88.69191919
94,entry,4343,1,350.0252525,135.9646465
49,exit,4371,1,550.3065327,100.1105528
